BLOCKGRP,Land_Acres,BG_ACRES,ACRES_DIFF,UTC_Acres,POP_2013,POP_DEN_2013,Hispanic_pct,White_pct,Black_pct,NativeAmer_pct,Asian_pct,PacIsland_pct,OtherRace_pct,TwoPlus_pct,MedHshldIncome,Vacant_pct,Rent_pct,Value,NoHighSchool_pct,HighSchool_pct,College_pct,AdvDegree_pct
160270210022,924.1017817,924.817102,0.7153203421,39.66708855,2287,0.4043800184,5.509400962,94.75295146,0,0.9619588981,0.568430258,0,1.792741583,3.847835592,46554,4.347826087,21.41148325,104100,4.305555556,26.18055556,21.52777778,3.472222222
160010023132,331.6821388,332.4253391,0.7432003705,74.98759311,1377,0.2414127372,10.23965142,91.93899782,4.06681191,0,1.089324619,0,0,5.8097313,50219,1.530612245,11.91709845,192300,0,11.74089069,36.13360324,5.263157895
160270210024,507.8781995,508.6416594,0.7634599091,45.33642774,3188,0.1595488267,14.89962359,96.07904642,0,1.035131744,0.9096612296,0,0,3.952321205,32219,6.924101198,24.39198856,60900,9.653767821,35.80448065,10.75356415,4.236252546
160010103221,322.800704,323.577025,0.7763209882,44.51035439,1744,0.185537285,5.332568807,91.80045872,2.006880734,0,2.350917431,0,0,7.683486239,37740,7.060333761,24.86187845,141400,0,44.53574363,21.03533279,1.479046836
160010003031,458.1231328,459.0184023,0.8952694418,129.577871,1812,0.2533214141,14.79028698,92.66004415,0,0,2.593818985,0,3.311258278,2.869757174,36594,11.49328859,59.52606635,234300,0.6056527591,20.39030956,28.33109017,10.83445491
160010010002,229.1376819,230.037881,0.9001990828,68.24260411,2022,0.113767498,5.291790307,93.07616222,0.6923837784,1.434223541,0,0,1.483679525,6.627101879,39083,5.985552116,41.05378705,160200,0,20.0443787,37.72189349,7.470414201
160010024104,307.5004769,308.4712864,0.970809427,77.13666877,2214,0.139327591,2.7100271,94.71544715,0.8581752484,0,2.16802168,0,0.7678410117,2.98102981,56783,5.835240275,16.40340219,178900,0,14.29562804,34.35114504,11.24219292
160010008022,131.8167653,132.7931595,0.9763941811,31.94282085,892,0.148871255,7.511210762,96.30044843,0,0,0,0,0,7.399103139,81618,0,21.47887324,161500,0,17.24137931,36.66061706,18.69328494
160010003041,381.6484371,382.6663572,1.01792009,73.28726085,2269,0.1686497828,3.878360511,98.28118114,0,0.5288673424,0,0,0,2.379903041,56458,3.251231527,24.74541752,158700,0.7821901324,17.08784597,42.35860409,6.317689531
160270206011,636.8515939,637.8930716,1.041477705,66.70066641,5116,0.1246859014,22.43940579,93.53010164,0,0,2.541047694,0,1.661454261,4.534792807,44246,4.070131497,23.95561358,130900,8.103388054,31.92455466,20.46804052,3.877052043
160010008031,103.5840966,104.7260541,1.141957534,26.78177746,1077,0.09723867605,0.8356545961,85.51532033,5.849582173,7.149489322,0,0,0,2.971216342,56308,0,18.94736842,168500,2.033492823,26.9138756,23.32535885,20.33492823
160010103322,176.2086979,177.3559657,1.14726779,30.23878201,1521,0.1166048427,0.7232084155,94.21433268,0,0,0,0,0,11.57133465,56944,17.4366617,18.41155235,110100,2.007648184,27.6290631,31.26195029,12.42829828
160010002012,351.6113761,352.8188647,1.207488581,48.85249047,676,0.5219213975,0,100,0,0,0,0,0,0,86845,0,36.01532567,379800,0,0,51.55131265,32.21957041
160010024111,192.4207125,193.6480526,1.22734001,41.2297831,1388,0.139515888,6.195965418,96.03746398,0,0,3.242074928,0,0,1.44092219,63321,0,5.605786618,199200,0,26.09561753,29.38247012,15.33864542
