BLOCKGRP,Land_Acres,UTC_Acres,POP_2013,Hispanic_pct,White_pct,Black_pct,NativeAmer_pct,Asian_pct,PacIsland_pct,OtherRace_pct,TwoPlus_pct,MedHshldIncome,Vacant_pct,Rent_pct,Value,NoHighSchool_pct,HighSchool_pct,College_pct,AdvDegree_pct
160270204021,280.552288,26.06270075,1294,6.877897991,89.33539413,0,3.323029366,0.9273570325,0,3.091190108,6.646058733,36099,0,28.8248337,88200,1.348039216,52.69607843,19.60784314,1.470588235
160270204022,92.12385402,19.76003042,641,14.82059282,80.65522621,0,0,2.496099844,0,14.82059282,4.056162246,33311,0,29.93197279,69400,2.521008403,32.77310924,24.57983193,0
160270204023,92.77346033,15.99933333,602,27.74086379,81.22923588,0,4.651162791,0,0,14.11960133,0,29071,14.17322835,51.83486239,89600,0,44.12698413,7.936507937,2.857142857
160270204024,139.9373619,21.30270943,876,43.83561644,69.74885845,0.799086758,7.648401826,0,0,5.593607306,32.42009132,28176,24.66960352,71.05263158,95400,13.26530612,17.85714286,16.58163265,8.673469388
160270204025,322.8917946,42.67633811,1953,14.59293395,82.59088582,3.277009729,0,0.7168458781,0,4.249871992,18.33077317,46350,0,28.17518248,123700,3.892733564,24.91349481,23.35640138,11.41868512
160270205011,326.9852336,46.53711288,1848,17.74891775,93.45238095,0,3.896103896,0,0,1.298701299,2.705627706,38125,2.993197279,26.64796634,109000,5.958132045,31.15942029,18.67954911,11.27214171
160270205012,318.2241871,49.00890819,1752,29.50913242,94.12100457,0,0,0,0,3.767123288,4.223744292,34926,0,44.17293233,95500,5.284147557,40.6779661,13.55932203,1.994017946
160270205031,641.1806984,77.59875587,3187,18.13617822,97.55255726,1.631628491,0.3137747098,0,0,0,1.004079071,42083,6.073943662,34.11433927,130500,6.896551724,33.22884013,14.4723093,7.523510972
160270205041,130.843399,24.3764535,1605,3.676012461,91.77570093,0,0,0.8099688474,0,0,14.82866044,35341,0,65.94360087,101000,0,32.75862069,15.70881226,2.681992337
160270205042,300.0734046,35.46975622,3634,20.1706109,88.4700055,0,1.871216291,0,0.1375894331,8.750687947,1.541001651,18632,9.266123054,86.84640523,98900,10.98964327,30.60989643,19.67779056,1.553509781
160270205043,198.3800787,35.67139423,991,18.46619576,93.64278507,0,4.944500505,0,0,0,2.82542886,40833,6.413301663,30.20304569,98600,8.68852459,25.90163934,20,8.032786885
160270206011,636.8515939,66.70066641,5116,22.43940579,93.53010164,0,0,2.541047694,0,1.661454261,4.534792807,44246,4.070131497,23.95561358,130900,8.103388054,31.92455466,20.46804052,3.877052043
160270206021,323.5875063,21.14900987,956,30.85774059,99.68619247,0,0,0,0,0,0.6276150628,24929,25.06596306,37.32394366,75300,27.27272727,21.21212121,20.45454545,0
160270206022,153.733265,33.62214915,2117,44.59140293,86.20689655,0,1.180916391,0,0,12.1398205,0.9447331129,30764,13.52074967,54.17956656,92600,18.62312445,23.56575463,11.82700794,2.736098853
160270206023,233.9763331,25.72737872,997,11.63490471,96.48946841,0,1.404212638,0,0,0.702106319,2.808425276,47059,20.88353414,12.43654822,118900,0,33.91557496,24.01746725,9.024745269
160270206024,187.3350933,32.58776594,1030,2.427184466,84.5631068,0,2.038834951,0,0,0,26.7961165,48214,0,21.3836478,142200,2.88184438,22.33429395,16.57060519,5.187319885
160270206025,109.5209196,24.02309278,871,9.873708381,97.93340987,1.836969001,0,0,0,0,0.4592422503,25533,0,26.23906706,89700,4.684975767,31.34087237,7.431340872,1.453957997
160270206026,116.2574481,23.45771562,1021,15.2791381,95.49461312,0,0,0,0,4.505386876,0,34561,0,36.33952255,87100,7.424960506,38.86255924,19.5892575,1.579778831
160270207001,761.134044,40.32463602,1139,2.194907814,97.80509219,0,0,0,0,0,4.389815628,62681,0,9.972299169,174500,0.8450704225,21.54929577,16.61971831,13.38028169
160270207002,2415.590919,140.22416,2346,10.40068201,95.86530264,0,1.023017903,0,0,2.429667519,1.36402387,60450,0,9.25,170600,7.771706132,34.48694596,23.37583485,5.221615058
160270209011,1436.262127,113.2854706,7547,24.27454618,88.15423347,0,0,1.20577713,0,8.01643037,5.24711806,52487,7.692307692,14.71193416,143500,2.674209308,21.72795063,37.36178966,6.531241965
