geoid,name,B03003001,B03003001e,B03003002,B03003002e,B03003003,B03003003e
15000US160010001001,"Block Group 1, Ada, ID",1096.000000000000000,366.000000000000000,894.000000000000000,252.000000000000000,202.000000000000000,215.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",980.000000000000000,195.000000000000000,966.000000000000000,193.000000000000000,14.000000000000000,24.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",2070.000000000000000,521.000000000000000,1984.000000000000000,529.000000000000000,86.000000000000000,56.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",1844.000000000000000,272.000000000000000,1807.000000000000000,270.000000000000000,37.000000000000000,42.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",676.000000000000000,203.000000000000000,676.000000000000000,203.000000000000000,0.000000000000000,11.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",730.000000000000000,182.000000000000000,730.000000000000000,182.000000000000000,0.000000000000000,11.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",1540.000000000000000,265.000000000000000,1422.000000000000000,248.000000000000000,118.000000000000000,118.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",1266.000000000000000,244.000000000000000,1144.000000000000000,215.000000000000000,122.000000000000000,137.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",1629.000000000000000,348.000000000000000,1629.000000000000000,348.000000000000000,0.000000000000000,11.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",1237.000000000000000,277.000000000000000,1187.000000000000000,279.000000000000000,50.000000000000000,69.000000000000000
15000US160010003021,"Block Group 1, Ada, ID",1089.000000000000000,216.000000000000000,1069.000000000000000,215.000000000000000,20.000000000000000,22.000000000000000
15000US160010003022,"Block Group 2, Ada, ID",1907.000000000000000,276.000000000000000,1796.000000000000000,285.000000000000000,111.000000000000000,86.000000000000000
15000US160010003031,"Block Group 1, Ada, ID",1812.000000000000000,280.000000000000000,1544.000000000000000,230.000000000000000,268.000000000000000,178.000000000000000
15000US160010003041,"Block Group 1, Ada, ID",2269.000000000000000,407.000000000000000,2181.000000000000000,408.000000000000000,88.000000000000000,64.000000000000000
15000US160010003042,"Block Group 2, Ada, ID",2869.000000000000000,412.000000000000000,2686.000000000000000,384.000000000000000,183.000000000000000,119.000000000000000
15000US160010003043,"Block Group 3, Ada, ID",1163.000000000000000,255.000000000000000,1131.000000000000000,264.000000000000000,32.000000000000000,52.000000000000000
15000US160010004001,"Block Group 1, Ada, ID",1133.000000000000000,476.000000000000000,996.000000000000000,486.000000000000000,137.000000000000000,157.000000000000000
15000US160010004002,"Block Group 2, Ada, ID",2302.000000000000000,499.000000000000000,2258.000000000000000,502.000000000000000,44.000000000000000,49.000000000000000
15000US160010004003,"Block Group 3, Ada, ID",627.000000000000000,219.000000000000000,511.000000000000000,191.000000000000000,116.000000000000000,76.000000000000000
