geoid,name,B25002001,B25002001e,B25002002,B25002002e,B25002003,B25002003e
15000US160010001001,"Block Group 1, Ada, ID",764.000000000000000,138.000000000000000,572.000000000000000,141.000000000000000,192.000000000000000,130.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",752.000000000000000,139.000000000000000,651.000000000000000,133.000000000000000,101.000000000000000,94.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",1217.000000000000000,160.000000000000000,1017.000000000000000,138.000000000000000,200.000000000000000,124.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",782.000000000000000,106.000000000000000,694.000000000000000,111.000000000000000,88.000000000000000,80.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",261.000000000000000,67.000000000000000,261.000000000000000,67.000000000000000,0.000000000000000,11.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",350.000000000000000,61.000000000000000,350.000000000000000,61.000000000000000,0.000000000000000,11.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",602.000000000000000,99.000000000000000,523.000000000000000,87.000000000000000,79.000000000000000,76.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",586.000000000000000,88.000000000000000,586.000000000000000,88.000000000000000,0.000000000000000,11.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",593.000000000000000,84.000000000000000,582.000000000000000,88.000000000000000,11.000000000000000,16.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",565.000000000000000,101.000000000000000,519.000000000000000,96.000000000000000,46.000000000000000,72.000000000000000
15000US160010003021,"Block Group 1, Ada, ID",539.000000000000000,76.000000000000000,539.000000000000000,76.000000000000000,0.000000000000000,11.000000000000000
15000US160010003022,"Block Group 2, Ada, ID",952.000000000000000,70.000000000000000,909.000000000000000,84.000000000000000,43.000000000000000,50.000000000000000
15000US160010003031,"Block Group 1, Ada, ID",1192.000000000000000,51.000000000000000,1055.000000000000000,108.000000000000000,137.000000000000000,100.000000000000000
15000US160010003041,"Block Group 1, Ada, ID",1015.000000000000000,132.000000000000000,982.000000000000000,139.000000000000000,33.000000000000000,53.000000000000000
15000US160010003042,"Block Group 2, Ada, ID",1434.000000000000000,133.000000000000000,1381.000000000000000,147.000000000000000,53.000000000000000,69.000000000000000
15000US160010003043,"Block Group 3, Ada, ID",518.000000000000000,86.000000000000000,484.000000000000000,87.000000000000000,34.000000000000000,53.000000000000000
15000US160010004001,"Block Group 1, Ada, ID",386.000000000000000,89.000000000000000,371.000000000000000,91.000000000000000,15.000000000000000,24.000000000000000
15000US160010004002,"Block Group 2, Ada, ID",1210.000000000000000,183.000000000000000,1075.000000000000000,177.000000000000000,135.000000000000000,128.000000000000000
15000US160010004003,"Block Group 3, Ada, ID",412.000000000000000,107.000000000000000,329.000000000000000,107.000000000000000,83.000000000000000,87.000000000000000
15000US160010004004,"Block Group 4, Ada, ID",543.000000000000000,165.000000000000000,494.000000000000000,151.000000000000000,49.000000000000000,79.000000000000000
15000US160010004005,"Block Group 5, Ada, ID",525.000000000000000,141.000000000000000,481.000000000000000,131.000000000000000,44.000000000000000,71.000000000000000
15000US160010005001,"Block Group 1, Ada, ID",757.000000000000000,115.000000000000000,734.000000000000000,112.000000000000000,23.000000000000000,35.000000000000000
15000US160010005002,"Block Group 2, Ada, ID",266.000000000000000,73.000000000000000,266.000000000000000,73.000000000000000,0.000000000000000,11.000000000000000
15000US160010005003,"Block Group 3, Ada, ID",551.000000000000000,83.000000000000000,527.000000000000000,80.000000000000000,24.000000000000000,39.000000000000000
15000US160010005004,"Block Group 4, Ada, ID",761.000000000000000,101.000000000000000,718.000000000000000,97.000000000000000,43.000000000000000,69.000000000000000
15000US160010005005,"Block Group 5, Ada, ID",538.000000000000000,104.000000000000000,508.000000000000000,110.000000000000000,30.000000000000000,45.000000000000000
15000US160010006001,"Block Group 1, Ada, ID",369.000000000000000,77.000000000000000,291.000000000000000,99.000000000000000,78.000000000000000,65.000000000000000
15000US160010006002,"Block Group 2, Ada, ID",672.000000000000000,96.000000000000000,672.000000000000000,96.000000000000000,0.000000000000000,11.000000000000000
15000US160010006003,"Block Group 3, Ada, ID",381.000000000000000,96.000000000000000,355.000000000000000,96.000000000000000,26.000000000000000,29.000000000000000
15000US160010006004,"Block Group 4, Ada, ID",469.000000000000000,86.000000000000000,469.000000000000000,86.000000000000000,0.000000000000000,11.000000000000000
15000US160010006005,"Block Group 5, Ada, ID",348.000000000000000,98.000000000000000,348.000000000000000,98.000000000000000,0.000000000000000,11.000000000000000
15000US160010006006,"Block Group 6, Ada, ID",701.000000000000000,111.000000000000000,659.000000000000000,114.000000000000000,42.000000000000000,68.000000000000000
15000US160010007011,"Block Group 1, Ada, ID",729.000000000000000,97.000000000000000,729.000000000000000,97.000000000000000,0.000000000000000,11.000000000000000
15000US160010007012,"Block Group 2, Ada, ID",659.000000000000000,120.000000000000000,611.000000000000000,109.000000000000000,48.000000000000000,76.000000000000000
15000US160010007013,"Block Group 3, Ada, ID",1143.000000000000000,154.000000000000000,1077.000000000000000,162.000000000000000,66.000000000000000,84.000000000000000
15000US160010007021,"Block Group 1, Ada, ID",1153.000000000000000,55.000000000000000,1057.000000000000000,97.000000000000000,96.000000000000000,94.000000000000000
15000US160010008021,"Block Group 1, Ada, ID",311.000000000000000,77.000000000000000,311.000000000000000,77.000000000000000,0.000000000000000,11.000000000000000
15000US160010008022,"Block Group 2, Ada, ID",284.000000000000000,79.000000000000000,284.000000000000000,79.000000000000000,0.000000000000000,11.000000000000000
