geoid,name,B02001001,B02001001e,B02001002,B02001002e,B02001003,B02001003e,B02001004,B02001004e,B02001005,B02001005e,B02001006,B02001006e,B02001007,B02001007e,B02001008,B02001008e,B02001009,B02001009e,B02001010,B02001010e
15000US160010001001,"Block Group 1, Ada, ID",1096.000000000000000,366.000000000000000,1064.000000000000000,360.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,32.000000000000000,41.000000000000000,0.000000000000000,11.000000000000000,32.000000000000000,41.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",980.000000000000000,195.000000000000000,727.000000000000000,221.000000000000000,0.000000000000000,11.000000000000000,90.000000000000000,133.000000000000000,43.000000000000000,56.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,120.000000000000000,135.000000000000000,0.000000000000000,11.000000000000000,120.000000000000000,135.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",2070.000000000000000,521.000000000000000,1544.000000000000000,345.000000000000000,108.000000000000000,107.000000000000000,14.000000000000000,18.000000000000000,126.000000000000000,198.000000000000000,0.000000000000000,11.000000000000000,17.000000000000000,26.000000000000000,261.000000000000000,258.000000000000000,0.000000000000000,11.000000000000000,261.000000000000000,258.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",1844.000000000000000,272.000000000000000,1796.000000000000000,275.000000000000000,12.000000000000000,24.000000000000000,0.000000000000000,11.000000000000000,5.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,25.000000000000000,41.000000000000000,6.000000000000000,10.000000000000000,0.000000000000000,11.000000000000000,6.000000000000000,10.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",676.000000000000000,203.000000000000000,676.000000000000000,203.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",730.000000000000000,182.000000000000000,706.000000000000000,171.000000000000000,13.000000000000000,24.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,11.000000000000000,19.000000000000000,0.000000000000000,11.000000000000000,11.000000000000000,19.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",1540.000000000000000,265.000000000000000,1429.000000000000000,271.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,26.000000000000000,25.000000000000000,0.000000000000000,11.000000000000000,70.000000000000000,106.000000000000000,15.000000000000000,25.000000000000000,0.000000000000000,11.000000000000000,15.000000000000000,25.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",1266.000000000000000,244.000000000000000,1210.000000000000000,241.000000000000000,18.000000000000000,29.000000000000000,0.000000000000000,11.000000000000000,25.000000000000000,40.000000000000000,0.000000000000000,11.000000000000000,13.000000000000000,22.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",1629.000000000000000,348.000000000000000,1606.000000000000000,347.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,23.000000000000000,25.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",1237.000000000000000,277.000000000000000,1176.000000000000000,272.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,61.000000000000000,65.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000
15000US160010003021,"Block Group 1, Ada, ID",1089.000000000000000,216.000000000000000,1056.000000000000000,215.000000000000000,25.000000000000000,31.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,8.000000000000000,15.000000000000000,0.000000000000000,11.000000000000000,8.000000000000000,15.000000000000000
15000US160010003022,"Block Group 2, Ada, ID",1907.000000000000000,276.000000000000000,1735.000000000000000,273.000000000000000,37.000000000000000,55.000000000000000,0.000000000000000,11.000000000000000,17.000000000000000,27.000000000000000,0.000000000000000,11.000000000000000,46.000000000000000,42.000000000000000,72.000000000000000,61.000000000000000,26.000000000000000,29.000000000000000,46.000000000000000,53.000000000000000
15000US160010003031,"Block Group 1, Ada, ID",1812.000000000000000,280.000000000000000,1679.000000000000000,270.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,47.000000000000000,46.000000000000000,0.000000000000000,11.000000000000000,60.000000000000000,102.000000000000000,26.000000000000000,31.000000000000000,0.000000000000000,11.000000000000000,26.000000000000000,31.000000000000000
15000US160010003041,"Block Group 1, Ada, ID",2269.000000000000000,407.000000000000000,2230.000000000000000,401.000000000000000,0.000000000000000,11.000000000000000,12.000000000000000,20.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,27.000000000000000,42.000000000000000,0.000000000000000,11.000000000000000,27.000000000000000,42.000000000000000
