geoid,name,B11012001,B11012001e,B11012002,B11012002e,B11012003,B11012003e,B11012004,B11012004e,B11012005,B11012005e,B11012006,B11012006e,B11012007,B11012007e,B11012008,B11012008e,B11012009,B11012009e,B11012010,B11012010e,B11012011,B11012011e,B11012012,B11012012e,B11012013,B11012013e,B11012014,B11012014e,B11012015,B11012015e
15000US160010001001,"Block Group 1, Ada, ID",572.000000000000000,141.000000000000000,183.000000000000000,114.000000000000000,93.000000000000000,69.000000000000000,29.000000000000000,35.000000000000000,64.000000000000000,65.000000000000000,90.000000000000000,92.000000000000000,76.000000000000000,89.000000000000000,0.000000000000000,11.000000000000000,76.000000000000000,89.000000000000000,14.000000000000000,22.000000000000000,0.000000000000000,11.000000000000000,14.000000000000000,22.000000000000000,389.000000000000000,133.000000000000000,31.000000000000000,38.000000000000000,358.000000000000000,135.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",651.000000000000000,133.000000000000000,199.000000000000000,102.000000000000000,83.000000000000000,52.000000000000000,11.000000000000000,17.000000000000000,72.000000000000000,49.000000000000000,116.000000000000000,101.000000000000000,13.000000000000000,23.000000000000000,0.000000000000000,11.000000000000000,13.000000000000000,23.000000000000000,103.000000000000000,98.000000000000000,0.000000000000000,11.000000000000000,103.000000000000000,98.000000000000000,452.000000000000000,145.000000000000000,39.000000000000000,37.000000000000000,413.000000000000000,145.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",1017.000000000000000,138.000000000000000,237.000000000000000,128.000000000000000,189.000000000000000,104.000000000000000,22.000000000000000,26.000000000000000,167.000000000000000,100.000000000000000,48.000000000000000,76.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,48.000000000000000,76.000000000000000,0.000000000000000,11.000000000000000,48.000000000000000,76.000000000000000,780.000000000000000,147.000000000000000,51.000000000000000,41.000000000000000,729.000000000000000,145.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",694.000000000000000,111.000000000000000,404.000000000000000,87.000000000000000,344.000000000000000,75.000000000000000,334.000000000000000,76.000000000000000,10.000000000000000,16.000000000000000,60.000000000000000,47.000000000000000,16.000000000000000,24.000000000000000,16.000000000000000,24.000000000000000,0.000000000000000,11.000000000000000,44.000000000000000,41.000000000000000,8.000000000000000,13.000000000000000,36.000000000000000,38.000000000000000,290.000000000000000,103.000000000000000,94.000000000000000,49.000000000000000,196.000000000000000,95.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",261.000000000000000,67.000000000000000,226.000000000000000,74.000000000000000,182.000000000000000,75.000000000000000,157.000000000000000,69.000000000000000,25.000000000000000,27.000000000000000,44.000000000000000,51.000000000000000,28.000000000000000,42.000000000000000,0.000000000000000,11.000000000000000,28.000000000000000,42.000000000000000,16.000000000000000,25.000000000000000,0.000000000000000,11.000000000000000,16.000000000000000,25.000000000000000,35.000000000000000,28.000000000000000,10.000000000000000,15.000000000000000,25.000000000000000,24.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",350.000000000000000,61.000000000000000,203.000000000000000,65.000000000000000,192.000000000000000,67.000000000000000,171.000000000000000,58.000000000000000,21.000000000000000,25.000000000000000,11.000000000000000,17.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,11.000000000000000,17.000000000000000,11.000000000000000,17.000000000000000,0.000000000000000,11.000000000000000,147.000000000000000,66.000000000000000,83.000000000000000,52.000000000000000,64.000000000000000,46.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",523.000000000000000,87.000000000000000,436.000000000000000,92.000000000000000,418.000000000000000,95.000000000000000,418.000000000000000,95.000000000000000,0.000000000000000,11.000000000000000,18.000000000000000,28.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,18.000000000000000,28.000000000000000,18.000000000000000,28.000000000000000,0.000000000000000,11.000000000000000,87.000000000000000,61.000000000000000,77.000000000000000,61.000000000000000,10.000000000000000,16.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",586.000000000000000,88.000000000000000,461.000000000000000,101.000000000000000,388.000000000000000,95.000000000000000,350.000000000000000,82.000000000000000,38.000000000000000,59.000000000000000,73.000000000000000,53.000000000000000,12.000000000000000,20.000000000000000,12.000000000000000,20.000000000000000,0.000000000000000,11.000000000000000,61.000000000000000,50.000000000000000,46.000000000000000,43.000000000000000,15.000000000000000,23.000000000000000,125.000000000000000,64.000000000000000,113.000000000000000,61.000000000000000,12.000000000000000,21.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",582.000000000000000,88.000000000000000,522.000000000000000,95.000000000000000,463.000000000000000,94.000000000000000,384.000000000000000,87.000000000000000,79.000000000000000,83.000000000000000,59.000000000000000,69.000000000000000,40.000000000000000,63.000000000000000,0.000000000000000,11.000000000000000,40.000000000000000,63.000000000000000,19.000000000000000,29.000000000000000,19.000000000000000,29.000000000000000,0.000000000000000,11.000000000000000,60.000000000000000,52.000000000000000,47.000000000000000,45.000000000000000,13.000000000000000,23.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",519.000000000000000,96.000000000000000,344.000000000000000,104.000000000000000,264.000000000000000,96.000000000000000,231.000000000000000,90.000000000000000,33.000000000000000,39.000000000000000,80.000000000000000,56.000000000000000,39.000000000000000,37.000000000000000,10.000000000000000,18.000000000000000,29.000000000000000,33.000000000000000,41.000000000000000,44.000000000000000,17.000000000000000,26.000000000000000,24.000000000000000,35.000000000000000,175.000000000000000,93.000000000000000,85.000000000000000,56.000000000000000,90.000000000000000,77.000000000000000
