geoid,name,B19013001,B19013001e
15000US160010001001,"Block Group 1, Ada, ID",31742.000000000000000,18913.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",24267.000000000000000,8831.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",17140.000000000000000,5654.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",62976.000000000000000,27223.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",86845.000000000000000,56492.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",47308.000000000000000,69553.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",91750.000000000000000,65254.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",122188.000000000000000,52448.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",121429.000000000000000,31173.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",79297.000000000000000,16673.000000000000000
15000US160010003021,"Block Group 1, Ada, ID",52554.000000000000000,10043.000000000000000
15000US160010003022,"Block Group 2, Ada, ID",40025.000000000000000,9476.000000000000000
15000US160010003031,"Block Group 1, Ada, ID",36594.000000000000000,9514.000000000000000
15000US160010003041,"Block Group 1, Ada, ID",56458.000000000000000,12211.000000000000000
15000US160010003042,"Block Group 2, Ada, ID",49906.000000000000000,5676.000000000000000
15000US160010003043,"Block Group 3, Ada, ID",72819.000000000000000,10785.000000000000000
15000US160010004001,"Block Group 1, Ada, ID",44750.000000000000000,8605.000000000000000
15000US160010004002,"Block Group 2, Ada, ID",31172.000000000000000,8604.000000000000000
15000US160010004003,"Block Group 3, Ada, ID",38063.000000000000000,24830.000000000000000
15000US160010004004,"Block Group 4, Ada, ID",26528.000000000000000,21074.000000000000000
15000US160010004005,"Block Group 5, Ada, ID",51436.000000000000000,6008.000000000000000
15000US160010005001,"Block Group 1, Ada, ID",43186.000000000000000,8579.000000000000000
15000US160010005002,"Block Group 2, Ada, ID",51471.000000000000000,23818.000000000000000
15000US160010005003,"Block Group 3, Ada, ID",71103.000000000000000,51724.000000000000000
15000US160010005004,"Block Group 4, Ada, ID",68056.000000000000000,22186.000000000000000
15000US160010005005,"Block Group 5, Ada, ID",48125.000000000000000,20092.000000000000000
15000US160010006001,"Block Group 1, Ada, ID",35417.000000000000000,13821.000000000000000
15000US160010006002,"Block Group 2, Ada, ID",48382.000000000000000,26006.000000000000000
15000US160010006003,"Block Group 3, Ada, ID",46979.000000000000000,13195.000000000000000
15000US160010006004,"Block Group 4, Ada, ID",46005.000000000000000,20831.000000000000000
15000US160010006005,"Block Group 5, Ada, ID",59891.000000000000000,40254.000000000000000
15000US160010006006,"Block Group 6, Ada, ID",33417.000000000000000,15896.000000000000000
15000US160010007011,"Block Group 1, Ada, ID",86108.000000000000000,33942.000000000000000
15000US160010007012,"Block Group 2, Ada, ID",37368.000000000000000,19839.000000000000000
15000US160010007013,"Block Group 3, Ada, ID",44452.000000000000000,8576.000000000000000
15000US160010007021,"Block Group 1, Ada, ID",111625.000000000000000,23968.000000000000000
15000US160010008021,"Block Group 1, Ada, ID",44948.000000000000000,7392.000000000000000
15000US160010008022,"Block Group 2, Ada, ID",81618.000000000000000,30955.000000000000000
15000US160010008023,"Block Group 3, Ada, ID",39000.000000000000000,19759.000000000000000
15000US160010008024,"Block Group 4, Ada, ID",83953.000000000000000,10218.000000000000000
15000US160010008031,"Block Group 1, Ada, ID",56308.000000000000000,10238.000000000000000
15000US160010008032,"Block Group 2, Ada, ID",43750.000000000000000,9203.000000000000000
15000US160010008033,"Block Group 3, Ada, ID",58000.000000000000000,7681.000000000000000
15000US160010008034,"Block Group 4, Ada, ID",67739.000000000000000,7577.000000000000000
15000US160010008041,"Block Group 1, Ada, ID",37591.000000000000000,8069.000000000000000
15000US160010008042,"Block Group 2, Ada, ID",46592.000000000000000,11004.000000000000000
15000US160010008043,"Block Group 3, Ada, ID",23636.000000000000000,11371.000000000000000
15000US160010008051,"Block Group 1, Ada, ID",124904.000000000000000,19866.000000000000000
15000US160010008052,"Block Group 2, Ada, ID",66667.000000000000000,58971.000000000000000
15000US160010009001,"Block Group 1, Ada, ID",13011.000000000000000,4763.000000000000000
15000US160010009002,"Block Group 2, Ada, ID",17772.000000000000000,8783.000000000000000
15000US160010009003,"Block Group 3, Ada, ID",28465.000000000000000,5421.000000000000000
15000US160010009004,"Block Group 4, Ada, ID",48250.000000000000000,11149.000000000000000
15000US160010010001,"Block Group 1, Ada, ID",19350.000000000000000,4511.000000000000000
15000US160010010002,"Block Group 2, Ada, ID",39083.000000000000000,5237.000000000000000
15000US160010010003,"Block Group 3, Ada, ID",41458.000000000000000,17330.000000000000000
15000US160010010004,"Block Group 4, Ada, ID",50000.000000000000000,29088.000000000000000
15000US160010011001,"Block Group 1, Ada, ID",21432.000000000000000,9335.000000000000000
15000US160010011002,"Block Group 2, Ada, ID",21627.000000000000000,4738.000000000000000
15000US160010011003,"Block Group 3, Ada, ID",24768.000000000000000,8062.000000000000000
15000US160010012011,"Block Group 1, Ada, ID",78015.000000000000000,18876.000000000000000
15000US160010012012,"Block Group 2, Ada, ID",40147.000000000000000,14011.000000000000000
15000US160010012021,"Block Group 1, Ada, ID",27136.000000000000000,11224.000000000000000
15000US160010012022,"Block Group 2, Ada, ID",42444.000000000000000,6248.000000000000000
15000US160010012023,"Block Group 3, Ada, ID",25650.000000000000000,5422.000000000000000
15000US160010014001,"Block Group 1, Ada, ID",25780.000000000000000,8529.000000000000000
15000US160010014002,"Block Group 2, Ada, ID",32491.000000000000000,12932.000000000000000
15000US160010014003,"Block Group 3, Ada, ID",42708.000000000000000,20512.000000000000000
15000US160010014004,"Block Group 4, Ada, ID",22550.000000000000000,7078.000000000000000
15000US160010015001,"Block Group 1, Ada, ID",43795.000000000000000,3832.000000000000000
15000US160010015002,"Block Group 2, Ada, ID",28558.000000000000000,9464.000000000000000
15000US160010015003,"Block Group 3, Ada, ID",38235.000000000000000,19026.000000000000000
15000US160010016001,"Block Group 1, Ada, ID",42892.000000000000000,4497.000000000000000
15000US160010016002,"Block Group 2, Ada, ID",45286.000000000000000,10169.000000000000000
15000US160010016003,"Block Group 3, Ada, ID",40057.000000000000000,10075.000000000000000
15000US160010017001,"Block Group 1, Ada, ID",43438.000000000000000,9723.000000000000000
15000US160010017002,"Block Group 2, Ada, ID",31104.000000000000000,5907.000000000000000
15000US160010017003,"Block Group 3, Ada, ID",31892.000000000000000,8921.000000000000000
15000US160010017004,"Block Group 4, Ada, ID",33068.000000000000000,11581.000000000000000
15000US160010018001,"Block Group 1, Ada, ID",43158.000000000000000,14164.000000000000000
15000US160010018002,"Block Group 2, Ada, ID",45428.000000000000000,5194.000000000000000
15000US160010018003,"Block Group 3, Ada, ID",60694.000000000000000,32053.000000000000000
15000US160010019001,"Block Group 1, Ada, ID",34107.000000000000000,7372.000000000000000
15000US160010019002,"Block Group 2, Ada, ID",72958.000000000000000,22298.000000000000000
15000US160010019003,"Block Group 3, Ada, ID",37932.000000000000000,3296.000000000000000
15000US160010020001,"Block Group 1, Ada, ID",26964.000000000000000,11764.000000000000000
15000US160010020002,"Block Group 2, Ada, ID",30033.000000000000000,7241.000000000000000
15000US160010020003,"Block Group 3, Ada, ID",47019.000000000000000,14869.000000000000000
15000US160010020004,"Block Group 4, Ada, ID",28094.000000000000000,18797.000000000000000
15000US160010021001,"Block Group 1, Ada, ID",49286.000000000000000,15761.000000000000000
15000US160010021002,"Block Group 2, Ada, ID",67422.000000000000000,17897.000000000000000
15000US160010022211,"Block Group 1, Ada, ID",86346.000000000000000,13921.000000000000000
15000US160010022212,"Block Group 2, Ada, ID",55104.000000000000000,17667.000000000000000
15000US160010022213,"Block Group 3, Ada, ID",56688.000000000000000,7877.000000000000000
15000US160010022221,"Block Group 1, Ada, ID",72860.000000000000000,7258.000000000000000
15000US160010022231,"Block Group 1, Ada, ID",77459.000000000000000,14835.000000000000000
15000US160010022241,"Block Group 1, Ada, ID",44766.000000000000000,20659.000000000000000
15000US160010022242,"Block Group 2, Ada, ID",72176.000000000000000,9802.000000000000000
15000US160010022243,"Block Group 3, Ada, ID",48594.000000000000000,17387.000000000000000
15000US160010023021,"Block Group 1, Ada, ID",66058.000000000000000,9609.000000000000000
15000US160010023022,"Block Group 2, Ada, ID",38086.000000000000000,6870.000000000000000
15000US160010023023,"Block Group 3, Ada, ID",54219.000000000000000,25409.000000000000000
15000US160010023024,"Block Group 4, Ada, ID",34389.000000000000000,4339.000000000000000
15000US160010023101,"Block Group 1, Ada, ID",77898.000000000000000,35091.000000000000000
15000US160010023102,"Block Group 2, Ada, ID",37589.000000000000000,5918.000000000000000
15000US160010023103,"Block Group 3, Ada, ID",65234.000000000000000,16884.000000000000000
15000US160010023104,"Block Group 4, Ada, ID",35868.000000000000000,2966.000000000000000
15000US160010023121,"Block Group 1, Ada, ID",39176.000000000000000,4610.000000000000000
15000US160010023122,"Block Group 2, Ada, ID",40463.000000000000000,8585.000000000000000
15000US160010023131,"Block Group 1, Ada, ID",44659.000000000000000,3544.000000000000000
15000US160010023132,"Block Group 2, Ada, ID",50219.000000000000000,7340.000000000000000
15000US160010024101,"Block Group 1, Ada, ID",81494.000000000000000,14564.000000000000000
15000US160010024102,"Block Group 2, Ada, ID",60096.000000000000000,25594.000000000000000
15000US160010024103,"Block Group 3, Ada, ID",66635.000000000000000,17660.000000000000000
15000US160010024104,"Block Group 4, Ada, ID",56783.000000000000000,15719.000000000000000
15000US160010024111,"Block Group 1, Ada, ID",63321.000000000000000,15667.000000000000000
15000US160010024112,"Block Group 2, Ada, ID",49688.000000000000000,13942.000000000000000
15000US160010024113,"Block Group 3, Ada, ID",57337.000000000000000,7769.000000000000000
15000US160010024121,"Block Group 1, Ada, ID",41964.000000000000000,16979.000000000000000
15000US160010024122,"Block Group 2, Ada, ID",34577.000000000000000,6362.000000000000000
15000US160010024131,"Block Group 1, Ada, ID",45833.000000000000000,15387.000000000000000
15000US160010024132,"Block Group 2, Ada, ID",82604.000000000000000,20360.000000000000000
15000US160010024133,"Block Group 3, Ada, ID",42214.000000000000000,11755.000000000000000
15000US160010024134,"Block Group 4, Ada, ID",83393.000000000000000,22116.000000000000000
15000US160010101001,"Block Group 1, Ada, ID",88306.000000000000000,12848.000000000000000
15000US160010102011,"Block Group 1, Ada, ID",96250.000000000000000,33728.000000000000000
15000US160010102012,"Block Group 2, Ada, ID",65278.000000000000000,9671.000000000000000
15000US160010102013,"Block Group 3, Ada, ID",69224.000000000000000,7298.000000000000000
15000US160010102211,"Block Group 1, Ada, ID",100833.000000000000000,16833.000000000000000
15000US160010102212,"Block Group 2, Ada, ID",55147.000000000000000,19676.000000000000000
15000US160010102231,"Block Group 1, Ada, ID",42454.000000000000000,8016.000000000000000
15000US160010102232,"Block Group 2, Ada, ID",55245.000000000000000,8009.000000000000000
15000US160010102241,"Block Group 1, Ada, ID",94228.000000000000000,12820.000000000000000
15000US160010102251,"Block Group 1, Ada, ID",67819.000000000000000,7765.000000000000000
15000US160010102252,"Block Group 2, Ada, ID",57639.000000000000000,19294.000000000000000
15000US160010102253,"Block Group 3, Ada, ID",45000.000000000000000,25289.000000000000000
15000US160010103131,"Block Group 1, Ada, ID",84110.000000000000000,2710.000000000000000
15000US160010103132,"Block Group 2, Ada, ID",76071.000000000000000,21555.000000000000000
15000US160010103133,"Block Group 3, Ada, ID",76509.000000000000000,9349.000000000000000
15000US160010103211,"Block Group 1, Ada, ID",57574.000000000000000,13304.000000000000000
15000US160010103212,"Block Group 2, Ada, ID",37821.000000000000000,9653.000000000000000
15000US160010103221,"Block Group 1, Ada, ID",37740.000000000000000,8790.000000000000000
15000US160010103222,"Block Group 2, Ada, ID",27629.000000000000000,5463.000000000000000
15000US160010103223,"Block Group 3, Ada, ID",39809.000000000000000,5214.000000000000000
15000US160010103311,"Block Group 1, Ada, ID",81163.000000000000000,15017.000000000000000
15000US160010103312,"Block Group 2, Ada, ID",98816.000000000000000,28826.000000000000000
15000US160010103313,"Block Group 3, Ada, ID",82548.000000000000000,6685.000000000000000
15000US160010103321,"Block Group 1, Ada, ID",65645.000000000000000,5047.000000000000000
15000US160010103322,"Block Group 2, Ada, ID",56944.000000000000000,17147.000000000000000
15000US160010103331,"Block Group 1, Ada, ID",34393.000000000000000,6164.000000000000000
15000US160010103332,"Block Group 2, Ada, ID",64236.000000000000000,5874.000000000000000
15000US160010103333,"Block Group 3, Ada, ID",64819.000000000000000,6547.000000000000000
15000US160010103334,"Block Group 4, Ada, ID",80804.000000000000000,39887.000000000000000
15000US160010103341,"Block Group 1, Ada, ID",72388.000000000000000,20409.000000000000000
15000US160010103342,"Block Group 2, Ada, ID",47102.000000000000000,21826.000000000000000
15000US160010103351,"Block Group 1, Ada, ID",76742.000000000000000,17493.000000000000000
15000US160010103352,"Block Group 2, Ada, ID",64800.000000000000000,12563.000000000000000
15000US160010103353,"Block Group 3, Ada, ID",56989.000000000000000,9254.000000000000000
15000US160010103354,"Block Group 4, Ada, ID",58301.000000000000000,18196.000000000000000
15000US160010104011,"Block Group 1, Ada, ID",45313.000000000000000,32415.000000000000000
15000US160010104012,"Block Group 2, Ada, ID",67296.000000000000000,3366.000000000000000
15000US160010104013,"Block Group 3, Ada, ID",60052.000000000000000,15813.000000000000000
15000US160010104014,"Block Group 4, Ada, ID",52331.000000000000000,9961.000000000000000
15000US160010104021,"Block Group 1, Ada, ID",59811.000000000000000,7968.000000000000000
15000US160010104022,"Block Group 2, Ada, ID",74097.000000000000000,12099.000000000000000
15000US160010105011,"Block Group 1, Ada, ID",70000.000000000000000,9330.000000000000000
15000US160010105031,"Block Group 1, Ada, ID",74712.000000000000000,14056.000000000000000
15000US160010105041,"Block Group 1, Ada, ID",99013.000000000000000,19434.000000000000000
15000US160010105042,"Block Group 2, Ada, ID",79338.000000000000000,9636.000000000000000
15000US160270201001,"Block Group 1, Canyon, ID",15743.000000000000000,4167.000000000000000
15000US160270202001,"Block Group 1, Canyon, ID",21815.000000000000000,6329.000000000000000
15000US160270202002,"Block Group 2, Canyon, ID",21399.000000000000000,5124.000000000000000
15000US160270202003,"Block Group 3, Canyon, ID",32917.000000000000000,11509.000000000000000
15000US160270203001,"Block Group 1, Canyon, ID",33611.000000000000000,15034.000000000000000
15000US160270203002,"Block Group 2, Canyon, ID",33346.000000000000000,6956.000000000000000
15000US160270203003,"Block Group 3, Canyon, ID",47695.000000000000000,30371.000000000000000
15000US160270203004,"Block Group 4, Canyon, ID",27528.000000000000000,3646.000000000000000
15000US160270204011,"Block Group 1, Canyon, ID",24038.000000000000000,16364.000000000000000
15000US160270204012,"Block Group 2, Canyon, ID",38991.000000000000000,7517.000000000000000
15000US160270204013,"Block Group 3, Canyon, ID",28674.000000000000000,14044.000000000000000
15000US160270204014,"Block Group 4, Canyon, ID",23291.000000000000000,4248.000000000000000
15000US160270204021,"Block Group 1, Canyon, ID",36099.000000000000000,7497.000000000000000
15000US160270204022,"Block Group 2, Canyon, ID",33311.000000000000000,21963.000000000000000
15000US160270204023,"Block Group 3, Canyon, ID",29071.000000000000000,5804.000000000000000
15000US160270204024,"Block Group 4, Canyon, ID",28176.000000000000000,12499.000000000000000
15000US160270204025,"Block Group 5, Canyon, ID",46350.000000000000000,13087.000000000000000
15000US160270205011,"Block Group 1, Canyon, ID",38125.000000000000000,18228.000000000000000
15000US160270205012,"Block Group 2, Canyon, ID",34926.000000000000000,14522.000000000000000
15000US160270205031,"Block Group 1, Canyon, ID",42083.000000000000000,13467.000000000000000
15000US160270205041,"Block Group 1, Canyon, ID",35341.000000000000000,4730.000000000000000
15000US160270205042,"Block Group 2, Canyon, ID",18632.000000000000000,6205.000000000000000
