geoid,name,B15003001,B15003001e,B15003002,B15003002e,B15003003,B15003003e,B15003004,B15003004e,B15003005,B15003005e,B15003006,B15003006e,B15003007,B15003007e,B15003008,B15003008e,B15003009,B15003009e,B15003010,B15003010e,B15003011,B15003011e,B15003012,B15003012e,B15003013,B15003013e,B15003014,B15003014e,B15003015,B15003015e,B15003016,B15003016e,B15003017,B15003017e,B15003018,B15003018e,B15003019,B15003019e,B15003020,B15003020e,B15003021,B15003021e,B15003022,B15003022e,B15003023,B15003023e,B15003024,B15003024e,B15003025,B15003025e
15000US160010001001,"Block Group 1, Ada, ID",783.000000000000000,233.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,45.000000000000000,73.000000000000000,0.000000000000000,11.000000000000000,39.000000000000000,63.000000000000000,46.000000000000000,43.000000000000000,35.000000000000000,56.000000000000000,134.000000000000000,136.000000000000000,26.000000000000000,31.000000000000000,24.000000000000000,29.000000000000000,101.000000000000000,100.000000000000000,33.000000000000000,54.000000000000000,228.000000000000000,111.000000000000000,55.000000000000000,66.000000000000000,0.000000000000000,11.000000000000000,17.000000000000000,29.000000000000000
15000US160010001002,"Block Group 2, Ada, ID",836.000000000000000,180.000000000000000,28.000000000000000,40.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,61.000000000000000,88.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,20.000000000000000,22.000000000000000,13.000000000000000,21.000000000000000,194.000000000000000,90.000000000000000,108.000000000000000,107.000000000000000,26.000000000000000,30.000000000000000,93.000000000000000,72.000000000000000,73.000000000000000,52.000000000000000,146.000000000000000,103.000000000000000,64.000000000000000,43.000000000000000,10.000000000000000,17.000000000000000,0.000000000000000,11.000000000000000
15000US160010001003,"Block Group 3, Ada, ID",1346.000000000000000,266.000000000000000,43.000000000000000,68.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,30.000000000000000,47.000000000000000,57.000000000000000,77.000000000000000,0.000000000000000,11.000000000000000,5.000000000000000,10.000000000000000,0.000000000000000,11.000000000000000,98.000000000000000,118.000000000000000,137.000000000000000,87.000000000000000,112.000000000000000,58.000000000000000,321.000000000000000,147.000000000000000,30.000000000000000,34.000000000000000,349.000000000000000,149.000000000000000,64.000000000000000,54.000000000000000,52.000000000000000,48.000000000000000,48.000000000000000,61.000000000000000
15000US160010002011,"Block Group 1, Ada, ID",1308.000000000000000,212.000000000000000,4.000000000000000,8.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,20.000000000000000,36.000000000000000,0.000000000000000,11.000000000000000,7.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,18.000000000000000,27.000000000000000,3.000000000000000,7.000000000000000,132.000000000000000,94.000000000000000,0.000000000000000,11.000000000000000,62.000000000000000,48.000000000000000,151.000000000000000,74.000000000000000,73.000000000000000,58.000000000000000,525.000000000000000,153.000000000000000,160.000000000000000,91.000000000000000,101.000000000000000,73.000000000000000,52.000000000000000,46.000000000000000
15000US160010002012,"Block Group 2, Ada, ID",419.000000000000000,139.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,46.000000000000000,49.000000000000000,7.000000000000000,12.000000000000000,209.000000000000000,115.000000000000000,105.000000000000000,57.000000000000000,22.000000000000000,26.000000000000000,30.000000000000000,34.000000000000000
15000US160010002013,"Block Group 3, Ada, ID",584.000000000000000,133.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,13.000000000000000,21.000000000000000,0.000000000000000,11.000000000000000,13.000000000000000,21.000000000000000,91.000000000000000,51.000000000000000,29.000000000000000,29.000000000000000,223.000000000000000,115.000000000000000,125.000000000000000,67.000000000000000,25.000000000000000,29.000000000000000,65.000000000000000,51.000000000000000
15000US160010002021,"Block Group 1, Ada, ID",981.000000000000000,171.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,14.000000000000000,23.000000000000000,58.000000000000000,57.000000000000000,11.000000000000000,19.000000000000000,15.000000000000000,22.000000000000000,119.000000000000000,84.000000000000000,80.000000000000000,67.000000000000000,288.000000000000000,96.000000000000000,277.000000000000000,90.000000000000000,108.000000000000000,71.000000000000000,11.000000000000000,19.000000000000000
15000US160010002022,"Block Group 2, Ada, ID",1062.000000000000000,181.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,15.000000000000000,23.000000000000000,132.000000000000000,75.000000000000000,14.000000000000000,22.000000000000000,42.000000000000000,41.000000000000000,110.000000000000000,64.000000000000000,29.000000000000000,34.000000000000000,320.000000000000000,93.000000000000000,165.000000000000000,78.000000000000000,138.000000000000000,92.000000000000000,97.000000000000000,74.000000000000000
15000US160010002023,"Block Group 3, Ada, ID",1039.000000000000000,167.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,42.000000000000000,39.000000000000000,0.000000000000000,11.000000000000000,46.000000000000000,41.000000000000000,269.000000000000000,125.000000000000000,0.000000000000000,11.000000000000000,431.000000000000000,132.000000000000000,133.000000000000000,72.000000000000000,118.000000000000000,58.000000000000000,0.000000000000000,11.000000000000000
15000US160010002024,"Block Group 4, Ada, ID",752.000000000000000,184.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,0.000000000000000,11.000000000000000,30.000000000000000,33.000000000000000,0.000000000000000,11.000000000000000,48.000000000000000,47.000000000000000,96.000000000000000,66.000000000000000,39.000000000000000,42.000000000000000,273.000000000000000,98.000000000000000,199.000000000000000,91.000000000000000,16.000000000000000,27.000000000000000,51.000000000000000,60.000000000000000
